Id,category,type,city,region,size,room_count,bathroom_count,price
46,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,90000.0
5683,Appartements,À Vendre,Ariana,Ariana,98.0,3.0,1.0,130.0
10844,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,400.0
289,Appartements,À Louer,Sfax,Route Menzel Chaker,95.0,2.0,1.0,0.48
8267,Maisons et Villas,À Vendre,Bizerte,Bizerte,270.0,7.0,3.0,520.0
10431,Maisons et Villas,À Louer,Tunis,La Marsa,450.0,3.0,2.0,3.5
6332,"Magasins, Commerces et Locaux industriels",À Vendre,Nabeul,Hammamet,30.0,1.0,1.0,17.0
5098,Terrains et Fermes,À Vendre,Zaghouan,Zaghouan,,,,35.0
1962,Appartements,À Vendre,Ariana,Raoued,100.0,3.0,1.0,125.0
12233,Appartements,À Vendre,Tunis,La Marsa,90.0,2.0,2.0,446.0
9622,Terrains et Fermes,À Vendre,La manouba,Oued Ellil,,,,30.0
7145,Terrains et Fermes,À Vendre,Mahdia,Mahdia,,,,1500.0
6228,Terrains et Fermes,À Vendre,Sousse,Sidi Bou Ali,,,,35.0
2317,Terrains et Fermes,À Vendre,Nabeul,Soliman,,,,320.0
11580,Appartements,À Louer,Sousse,Hammam Sousse,80.0,1.0,1.0,0.65
1125,Appartements,À Vendre,Tunis,Menzah,110.0,4.0,1.0,242.0
8598,Terrains et Fermes,À Vendre,Tunis,Tunis,,,,350.0
253,Appartements,À Vendre,Tunis,La Marsa,134.0,3.0,1.0,280.0
3535,Appartements,À Louer,Sousse,Sousse,70.0,2.0,1.0,0.6
12421,Terrains et Fermes,À Vendre,Sfax,Route Tunis,,,,170.0
2008,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,150.0
12337,Maisons et Villas,À Vendre,Nabeul,Hammamet,360.0,3.0,1.0,285.0
4718,"Magasins, Commerces et Locaux industriels",À Louer,Ben arous,Boumhel,120.0,1.0,1.0,0.85
11156,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,50.0
7551,Maisons et Villas,À Vendre,Ben arous,Autres villes,140.0,7.0,2.0,280.0
10869,Appartements,À Vendre,Mahdia,Autres villes,115.0,2.0,1.0,75.0
4080,Maisons et Villas,À Vendre,Ariana,Ariana,220.0,3.0,1.0,500.0
9127,Maisons et Villas,À Vendre,Nabeul,Hammamet,360.0,2.0,1.0,95.0
3397,Maisons et Villas,À Louer,Ben arous,Mégrine,130.0,3.0,1.0,1.2
4279,Appartements,À Louer,Sousse,Sahloul,145.0,4.0,2.0,1.2
8105,Maisons et Villas,À Vendre,Nabeul,Hammamet,100.0,2.0,1.0,128.0
11304,Terrains et Fermes,À Vendre,Bizerte,Ghar El Melh,,,,145.0
4274,Terrains et Fermes,À Vendre,Tataouine,Tataouine Sud,,,,150.0
3894,Appartements,À Vendre,Tunis,Carthage,135.0,3.0,2.0,320.0
2130,Appartements,À Vendre,Tunis,Manar,103.0,2.0,1.0,155.0
1014,Appartements,À Louer,Monastir,Monastir,200.0,3.0,1.0,0.5
2572,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,191.0
7139,Maisons et Villas,À Louer,Kasserine,Kasserine Nord,150.0,4.0,1.0,0.38
6184,Appartements,À Louer,Tunis,Tunis,100.0,3.0,1.0,1.1
12371,Maisons et Villas,À Louer,Gabès,Autres villes,300.0,1.0,3.0,0.35
9753,Terrains et Fermes,À Vendre,Ariana,Ariana,,,,295.0
11343,Appartements,À Vendre,Ariana,Jardins D'el Menzah,105.0,2.0,1.0,230.0
4100,Appartements,À Louer,Tunis,L'aouina,70.0,1.0,1.0,2.0
8036,Appartements,À Louer,Sousse,Kantaoui,75.0,1.0,1.0,0.9
2169,"Magasins, Commerces et Locaux industriels",À Vendre,Ariana,Ghazela,50.0,1.0,2.0,28.0
12050,Appartements,À Louer,Sfax,Autres villes,200.0,4.0,1.0,0.55
978,Terrains et Fermes,À Vendre,Sousse,M'saken,,,,110.0
7022,Appartements,À Louer,Ben arous,Boumhel,60.0,1.0,1.0,0.35
11501,Appartements,À Louer,Monastir,Monastir,102.0,3.0,1.0,0.55
6737,Appartements,À Louer,Sousse,Hammam Sousse,150.0,2.0,1.0,0.75
7014,Appartements,À Vendre,Tunis,L'aouina,105.0,2.0,1.0,230.0
2426,Appartements,À Vendre,La manouba,La manouba,125.0,3.0,1.0,180.0
10368,Terrains et Fermes,À Vendre,Zaghouan,Zaghouan,,,,95.0
10475,Bureaux et Plateaux,À Vendre,Tunis,La Marsa,103.0,4.0,2.0,4200.0
8558,Appartements,À Louer,Tunis,Ezzouhour,100.0,2.0,1.0,0.3
4288,Terrains et Fermes,À Vendre,Jendouba,Autres villes,,,,90.0
6918,Appartements,À Vendre,Tunis,Manar,151.0,3.0,1.0,360.0
8219,Terrains et Fermes,À Vendre,Sfax,Sakiet Ezzit,,,,69.0
12105,"Magasins, Commerces et Locaux industriels",À Louer,Ben arous,Ezzahra,42.0,1.0,1.0,0.45
7125,Appartements,À Louer,Tunis,La Marsa,100.0,2.0,1.0,1.6
5412,Appartements,À Louer,Tunis,La Marsa,120.0,2.0,1.0,2.0
2781,Appartements,À Louer,Sousse,Sousse,65.0,1.0,1.0,0.3
8735,Appartements,À Louer,Sousse,Kantaoui,40.0,1.0,1.0,0.065
738,Appartements,À Louer,Sousse,Hammam Sousse,61.0,1.0,1.0,1.0
2999,Appartements,À Louer,Tunis,L'aouina,120.0,2.0,1.0,0.9
5235,Appartements,À Vendre,Sfax,Sfax Ville,112.0,3.0,1.0,109.0
10399,Appartements,À Vendre,Nabeul,Hammamet,150.0,2.0,1.0,140.0
3301,Terrains et Fermes,À Vendre,Sousse,Zaouit-Ksibat Thrayett,,,,180.0
4586,Maisons et Villas,À Vendre,Tunis,Séjoumi,140.0,3.0,1.0,115.0
5328,Terrains et Fermes,À Vendre,Jendouba,Tabarka,,,,80.0
1664,Appartements,À Vendre,Tunis,Menzah,132.0,3.0,2.0,225.0
11724,Terrains et Fermes,À Vendre,Sousse,Kalaâ Sghira,,,,180.0
5913,Appartements,À Louer,Tunis,Autres villes,60.0,2.0,1.0,0.8
6392,Maisons et Villas,À Vendre,Tunis,L'aouina,550.0,4.0,3.0,1200.0
1410,Appartements,À Louer,La manouba,La manouba,71.0,1.0,1.0,0.7
